Date,CHF_EUR
2023-01-31,0.99615
2023-02-28,0.99045
2023-03-31,0.99051
2023-04-30,0.98479
2023-05-31,0.97533
2023-06-30,0.97602
2023-07-31,0.9661
2023-08-31,0.95835
2023-09-30,0.95969
2023-10-31,0.95518
2023-11-30,0.96324
2023-12-31,0.94415
2024-01-31,0.93645
2024-02-29,0.946
2024-03-31,0.96527
2024-04-30,0.97598
2024-05-31,0.9828
2024-06-30,0.9619
2024-07-31,0.96782
2024-08-31,0.94494
2024-09-30,0.94101
2024-10-31,0.93867
2024-11-30,0.9354
2024-12-31,0.93383
2025-01-31,0.94162
2025-02-28,0.94114
2025-03-31,0.95488
2025-04-30,0.93799
2025-05-31,0.93578
2025-06-30,0.93766
2025-07-31,0.93245
2025-08-31,0.93875
2025-09-30,0.93483
2025-10-31,0.92857
