Date,inflation_switzerland,energy_prices_switzerland
2004-01-01,0.0,0.0
2005-01-01,0.0,0.0
2006-01-01,19.0,0.0
2007-01-01,0.0,0.0
2008-01-01,21.0,0.0
2009-01-01,9.0,0.0
2010-01-01,12.0,0.0
2011-01-01,12.0,0.0
2012-01-01,11.0,0.0
2013-01-01,9.0,0.0
2014-01-01,10.0,0.0
2015-01-01,9.0,0.0
2016-01-01,9.0,0.0
2017-01-01,11.0,0.0
2018-01-01,14.0,0.0
2019-01-01,14.0,0.0
2020-01-01,12.0,0.0
2021-01-01,25.0,0.0
2022-01-01,100.0,100.0
2023-01-01,72.0,0.0
2024-01-01,53.0,81.0
2025-01-01,54.0,0.0
