date,y,yhat
2013-05-01,-0.1,-0.5419922230594493
2013-06-01,0.0,-0.3525385513845022
2013-07-01,0.0,-0.024686687473862268
2013-08-01,-0.1,0.11135176488532472
2013-09-01,-0.3,0.092148031621053
2013-10-01,0.1,-0.07887903641660454
2013-11-01,0.1,-0.37919620078183114
2013-12-01,0.1,0.08250094063246471
2014-01-01,-0.1,0.10302324249390071
2014-02-01,0.0,0.09922317305338402
2014-03-01,0.0,-0.04045422639701646
2014-04-01,0.2,0.02952323297790127
2014-05-01,0.0,0.0020414422152744693
2014-06-01,0.0,0.19962881173771507
2014-07-01,0.1,0.07282702419217202
2014-08-01,-0.1,0.0637922741365925
2014-09-01,0.0,0.114180288282836
2014-10-01,-0.1,-0.1262857314830491
2014-11-01,-0.3,-0.05949216150566827
2014-12-01,-0.5,-0.16375275219783514
2015-01-01,-0.8,-0.3365632460873381
2015-02-01,-0.9,-0.5783457853791093
2015-03-01,-1.1,-0.7186377672484777
2015-04-01,-1.2,-0.8224617922813654
2015-05-01,-1.0,-0.977860741410557
2015-06-01,-1.3,-0.9915539011184361
2015-07-01,-1.4,-0.8467014882737632
2015-08-01,-1.4,-1.1357031565283977
2015-09-01,-1.4,-1.2128208187928862
2015-10-01,-1.4,-1.2540294975379167
2015-11-01,-1.3,-1.1359146235844797
2015-12-01,-1.3,-1.0689876258076207
2016-01-01,-0.8,-1.0032447722494782
2016-02-01,-0.9,-1.1016466616379206
2016-03-01,-0.4,-0.6970032884123237
2016-04-01,-0.4,-0.7948264484913611
2016-05-01,-0.4,-0.3505914293086788
2016-06-01,-0.2,-0.3356992151625279
2016-07-01,-0.1,-0.6209377870521501
2016-08-01,-0.2,-0.5372194996266232
2016-09-01,-0.2,-0.29719262463767737
2016-10-01,-0.3,-0.3387774443246826
2016-11-01,0.0,-0.31195469656537
2016-12-01,0.3,-0.661535055854786
2017-01-01,0.6,-0.4004547031815481
2017-02-01,0.6,-0.27205555091224076
2017-03-01,0.4,0.2539030721698248
2017-04-01,0.5,0.26815964413182997
2017-05-01,0.2,0.01796550073882419
2017-06-01,0.3,0.1560554006685828
2017-07-01,0.5,-0.10955417331837664
2017-08-01,0.7,-0.00530551241077476
2017-09-01,0.7,0.24423876365249392
2017-10-01,0.8,0.458157252869014
2017-11-01,0.8,0.4305634749303651
2017-12-01,0.7,0.5228385862246211
2018-01-01,0.6,0.48003243495456405
2018-02-01,0.8,0.38100853180507055
2018-03-01,0.8,0.22738761491737064
2018-04-01,1.0,0.453319841865924
2018-05-01,1.1,0.44659171777898854
2018-06-01,1.2,0.6342689539081771
2018-07-01,1.2,0.6586242326205674
2018-08-01,1.0,0.719584611311088
2018-09-01,1.1,0.6136986927436849
2018-10-01,0.9,0.48089002345671905
2018-11-01,0.7,0.5686086353708688
2018-12-01,0.6,0.2902549300050985
2019-01-01,0.6,0.049285297517850435
2019-02-01,0.7,0.07225883970107289
2019-03-01,0.7,0.12926187222943836
2019-04-01,0.6,0.29299410138414583
2019-05-01,0.6,0.2453327649636199
2019-06-01,0.3,0.19403702810652013
2019-07-01,0.3,0.11795087998230375
2019-08-01,0.1,-0.24288128065136966
2019-09-01,-0.3,-0.16710489391766364
2019-10-01,-0.1,-0.34620279101123635
2019-11-01,0.2,-0.6110905709162631
2019-12-01,0.2,-0.36192521390576865
2020-01-01,-0.1,-0.09000155929386539
2020-02-01,-0.5,-0.11111997405933788
2020-03-01,-1.1,-0.3757033375538595
2020-04-01,-1.3,-0.7745719075761481
2020-05-01,-1.3,-1.3991418672522584
2020-06-01,-0.9,-1.450824836295843
2020-07-01,-0.9,-1.3977334777699286
2020-08-01,-0.8,-0.9042843880198399
2020-09-01,-0.6,-0.8850443559330432
2020-10-01,-0.7,-0.7731679079121145
2020-11-01,-0.8,-0.6394712554728215
2020-12-01,-0.5,-0.7298030315343951
2021-01-01,-0.5,-0.9087738889038637
2021-02-01,-0.2,-0.5543503507651473
2021-03-01,0.3,-0.5325703057644406
2021-04-01,0.6,-0.20974754963911063
2021-05-01,0.6,0.15373968675219185
2021-06-01,0.7,0.6067245522774014
2021-07-01,0.9,0.6091119486702328
2021-08-01,0.9,0.641364797998548
