model,RMSE,MAE,MASE,n_samples
Naive,0.5604270080684451,0.4137254901960784,1.0,255
Lasso,1.0298161113459905,0.7928355610227923,1.9163323986806828,255
Ridge,1.110445090419881,0.8667335289029561,2.094948340002406,255
LinearRegression,1.195790137602193,0.9168628854280576,2.2161140832621298,255
SeasonalNaive,1.3341517096319016,1.0607843137254902,2.563981042654029,255
RandomForest,1.35559785125004,1.0370843137254901,2.506696682464455,255
