model,RMSE,MAE,MASE,n_samples
Naive,0.27461202578525645,0.2019607843137255,1.0,255
Lasso,0.8710865832863167,0.6451829765311833,3.194595320688383,255
Ridge,1.1272839677384354,0.8053022453907475,3.9874188849444776,255
RandomForest,1.1289702586822674,0.7921431372549017,3.922262135922329,255
SeasonalNaive,1.3341517096319016,1.0607843137254902,5.252427184466019,255
LinearRegression,1.490201207073859,0.9843730084820645,4.874079944911193,255
